id,name,age,friends
0,Will,33,385
1,Jean-Luc,26,2
5,Weyoun,59,318
9,Hugh,27,181
14,Hugh,43,49
17,Odo,35,13
23,Keiko,51,271
28,Martok,49,476
32,Nog,26,281
34,Jean-Luc,43,249
35,Beverly,27,305
40,Odo,52,413
44,Nerys,35,244
45,Dukat,52,77
50,Quark,51,283
58,Hugh,59,158
59,Morn,59,284
65,Guinan,52,169
68,Guinan,33,74
70,Brunt,52,393
78,Data,61,337
85,Quark,66,383
88,Ben,66,188
90,Kasidy,33,471
100,Jean-Luc,61,460
103,Ezri,61,2
106,Beverly,18,499
114,Worf,33,275
115,Dukat,18,397
117,Rom,52,487
121,Deanna,35,355
124,Data,47,429
125,Rom,66,284
126,Brunt,26,84
142,Guinan,59,335
147,Quark,61,373
149,Beverly,49,340
153,Morn,63,342
162,Ezri,59,14
165,Leeta,26,282
174,Deanna,47,87
178,Kasidy,26,381
181,Rom,43,404
182,Weyoun,26,145
183,Ben,47,488
187,Nerys,47,225
202,Lwaxana,63,469
209,Brunt,27,174
210,Data,33,245
211,Ben,61,73
218,Gowron,66,350
219,Lwaxana,26,345
221,Dukat,27,150
228,Martok,26,293
231,Ezri,59,42
234,Deanna,49,22
237,Nerys,61,469
243,Martok,61,68
247,Ezri,52,338
249,Nerys,66,41
257,Data,51,161
262,Will,51,334
265,Gowron,27,471
266,Jean-Luc,66,496
267,Dukat,49,106
268,Ezri,26,298
273,Data,51,493
275,Will,47,13
280,Nerys,26,492
284,Nog,26,269
285,Data,43,101
292,Nog,63,380
300,Beverly,49,147
311,Martok,43,48
312,Jadzia,61,421
313,Dukat,59,169
317,Guinan,59,439
318,Deanna,35,251
325,Keiko,51,492
330,Ezri,33,356
335,Odo,27,337
336,Gowron,47,4
339,Morn,66,305
341,Data,18,326
343,Odo,26,254
348,Weyoun,33,460
352,Deanna,27,53
357,Brunt,26,7
358,Will,52,276
368,Elim,26,383
375,Hugh,66,201
377,Beverly,18,418
378,Guinan,47,97
380,Brunt,35,65
382,Worf,66,240
386,Data,35,428
387,Will,43,335
398,Lwaxana,26,124
404,Kasidy,18,24
410,Odo,35,299
416,Nerys,33,294
420,Jadzia,26,391
425,Quark,33,243
429,Jean-Luc,63,345
437,Morn,59,221
439,Data,18,417
444,Keiko,18,472
449,Data,52,419
454,Weyoun,52,456
455,Elim,33,463
457,Worf,51,81
459,Geordi,26,84
460,Hugh,47,400
466,Brunt,33,228
471,Brunt,52,273
472,Nog,27,154
473,Morn,35,38
475,Ben,52,446
480,Geordi,43,428
485,Rom,47,356
486,Elim,49,17
488,Nog,61,103
489,Odo,33,410
494,Kasidy,18,194
